id,station_name,line_number,congestion_level,passenger_count,timestamp,date,hour,minute,day_of_week,day_name,is_weekend,time_period,is_rush_hour,congestion_status,congestion_grade,rolling_mean,rolling_std,prev_congestion,congestion_change,z_score,is_anomaly
2833,가산디지털단지역,1,74.81,253,2025-10-26 22:00:55.197672,2025-10-26,22,0,6,Sunday,True,평시,False,VERY_HIGH,4,35.8,33.53,69.67,5.14,1.189,False
2726,가산디지털단지역,1,54.97,139,2025-10-26 23:44:55.197672,2025-10-26,23,44,6,Sunday,True,평시,False,HIGH,3,45.41,29.86,74.81,-19.84,0.386,False
1600,가산디지털단지역,1,37.54,122,2025-10-27 00:50:55.197672,2025-10-27,0,50,0,Monday,False,심야,False,MEDIUM,2,50.86,23.7,54.97,-17.43,-0.321,False
8359,가산디지털단지역,1,45.58,135,2025-10-27 04:44:55.197672,2025-10-27,4,44,0,Monday,False,심야,False,MEDIUM,2,56.51,15.73,37.54,8.04,0.005,False
7773,가산디지털단지역,1,53.74,172,2025-10-27 04:49:55.197672,2025-10-27,4,49,0,Monday,False,심야,False,HIGH,3,53.33,13.91,45.58,8.16,0.336,False
965,가산디지털단지역,1,54.6,177,2025-10-27 05:37:55.197672,2025-10-27,5,37,0,Monday,False,심야,False,HIGH,3,49.29,7.62,53.74,0.86,0.371,False
7120,가산디지털단지역,1,43.81,137,2025-10-27 10:25:55.197672,2025-10-27,10,25,0,Monday,False,평시,False,MEDIUM,2,47.05,7.16,54.6,-10.79,-0.067,False
3859,가산디지털단지역,1,15.68,49,2025-10-27 13:14:55.197672,2025-10-27,13,14,0,Monday,False,점심,False,LOW,1,42.68,15.84,43.81,-28.13,-1.206,False
9749,가산디지털단지역,1,17.75,46,2025-10-27 15:48:55.197672,2025-10-27,15,48,0,Monday,False,평시,False,LOW,1,37.12,19.11,15.68,2.07,-1.122,False
7867,가산디지털단지역,1,7.91,26,2025-10-27 15:55:55.197672,2025-10-27,15,55,0,Monday,False,평시,False,LOW,1,27.95,20.11,17.75,-9.84,-1.521,False
172,가산디지털단지역,1,5.27,18,2025-10-27 16:20:55.197672,2025-10-27,16,20,0,Monday,False,평시,False,LOW,1,18.08,15.29,7.91,-2.64,-1.628,False
2713,가산디지털단지역,1,46.26,115,2025-10-27 17:35:55.197672,2025-10-27,17,35,0,Monday,False,평시,False,MEDIUM,2,18.57,16.33,5.27,40.99,0.033,False
3499,가산디지털단지역,1,39.54,137,2025-10-27 17:35:55.197672,2025-10-27,17,35,0,Monday,False,평시,False,MEDIUM,2,23.35,18.6,46.26,-6.72,-0.24,False
8667,가산디지털단지역,1,38.94,98,2025-10-27 17:49:55.197672,2025-10-27,17,49,0,Monday,False,평시,False,MEDIUM,2,27.58,19.4,39.54,-0.6,-0.264,False
9763,가산디지털단지역,1,46.05,145,2025-10-27 18:48:55.197672,2025-10-27,18,48,0,Monday,False,퇴근,True,MEDIUM,2,35.21,17.09,38.94,7.11,0.024,False
6975,가산디지털단지역,1,50.27,171,2025-10-27 18:57:55.197672,2025-10-27,18,57,0,Monday,False,퇴근,True,HIGH,3,44.21,4.84,46.05,4.22,0.195,False
1849,가산디지털단지역,1,30.04,85,2025-10-27 19:02:55.197672,2025-10-27,19,2,0,Monday,False,퇴근,True,MEDIUM,2,40.97,7.71,50.27,-20.23,-0.624,False
1446,가산디지털단지역,1,40.26,102,2025-10-27 19:50:55.197672,2025-10-27,19,50,0,Monday,False,퇴근,True,MEDIUM,2,41.11,7.69,30.04,10.22,-0.21,False
8265,가산디지털단지역,1,80.5,271,2025-10-27 20:47:55.197672,2025-10-27,20,47,0,Monday,False,퇴근,True,VERY_HIGH,4,49.42,18.96,40.26,40.24,1.42,False
7317,가산디지털단지역,1,64.8,180,2025-10-27 21:15:55.197672,2025-10-27,21,15,0,Monday,False,평시,False,HIGH,3,53.17,19.95,80.5,-15.7,0.784,False
941,가산디지털단지역,1,62.38,212,2025-10-27 21:31:55.197672,2025-10-27,21,31,0,Monday,False,평시,False,HIGH,3,55.6,20.24,64.8,-2.42,0.686,False
1502,가산디지털단지역,1,71.0,188,2025-10-27 22:52:55.197672,2025-10-27,22,52,0,Monday,False,평시,False,VERY_HIGH,4,63.79,14.9,62.38,8.62,1.035,False
8526,가산디지털단지역,1,40.47,121,2025-10-27 23:30:55.197672,2025-10-27,23,30,0,Monday,False,평시,False,MEDIUM,2,63.83,14.82,71.0,-30.53,-0.202,False
942,가산디지털단지역,1,43.96,126,2025-10-28 01:04:55.197672,2025-10-28,1,4,1,Tuesday,False,심야,False,MEDIUM,2,56.52,13.49,40.47,3.49,-0.06,False
1181,가산디지털단지역,1,54.17,182,2025-10-28 01:35:55.197672,2025-10-28,1,35,1,Tuesday,False,심야,False,HIGH,3,54.4,12.67,43.96,10.21,0.353,False
6168,가산디지털단지역,1,46.95,145,2025-10-28 02:25:55.197672,2025-10-28,2,25,1,Tuesday,False,심야,False,MEDIUM,2,51.31,12.11,54.17,-7.22,0.061,False
5317,가산디지털단지역,1,57.71,178,2025-10-28 03:15:55.197672,2025-10-28,3,15,1,Tuesday,False,심야,False,HIGH,3,48.65,7.15,46.95,10.76,0.497,False
1680,가산디지털단지역,1,47.57,161,2025-10-28 04:09:55.197672,2025-10-28,4,9,1,Tuesday,False,심야,False,MEDIUM,2,50.07,5.67,57.71,-10.14,0.086,False
9121,가산디지털단지역,1,59.99,188,2025-10-28 04:29:55.197672,2025-10-28,4,29,1,Tuesday,False,심야,False,HIGH,3,53.28,5.88,47.57,12.42,0.589,False
3605,가산디지털단지역,1,43.16,145,2025-10-28 05:07:55.197672,2025-10-28,5,7,1,Tuesday,False,심야,False,MEDIUM,2,51.08,7.34,59.99,-16.83,-0.093,False
2941,가산디지털단지역,1,67.38,192,2025-10-28 07:19:55.197672,2025-10-28,7,19,1,Tuesday,False,출근,True,HIGH,3,55.16,9.76,43.16,24.22,0.888,False
4445,가산디지털단지역,1,88.91,227,2025-10-28 07:49:55.197672,2025-10-28,7,49,1,Tuesday,False,출근,True,VERY_HIGH,4,61.4,18.16,67.38,21.53,1.761,False
2199,가산디지털단지역,1,18.72,64,2025-10-28 12:04:55.197672,2025-10-28,12,4,1,Tuesday,False,점심,False,LOW,1,55.63,26.37,88.91,-70.19,-1.083,False
7369,가산디지털단지역,1,19.02,51,2025-10-28 14:20:55.197672,2025-10-28,14,20,1,Tuesday,False,평시,False,LOW,1,47.44,30.69,18.72,0.3,-1.071,False
2323,가산디지털단지역,1,60.26,164,2025-10-28 21:32:55.197672,2025-10-28,21,32,1,Tuesday,False,평시,False,HIGH,3,50.86,31.05,19.02,41.24,0.6,False
9131,가산디지털단지역,1,46.76,120,2025-10-29 02:22:55.197672,2025-10-29,2,22,2,Wednesday,False,심야,False,MEDIUM,2,46.73,29.64,60.26,-13.5,0.053,False
3234,가산디지털단지역,1,57.88,145,2025-10-29 03:51:55.197672,2025-10-29,3,51,2,Wednesday,False,심야,False,HIGH,3,40.53,20.42,46.76,11.12,0.503,False
1278,가산디지털단지역,1,61.86,198,2025-10-29 04:21:55.197672,2025-10-29,4,21,2,Wednesday,False,심야,False,HIGH,3,49.16,17.85,57.88,3.98,0.665,False
7210,가산디지털단지역,1,56.66,166,2025-10-29 04:24:55.197672,2025-10-29,4,24,2,Wednesday,False,심야,False,HIGH,3,56.68,5.91,61.86,-5.2,0.454,False
7553,가산디지털단지역,1,62.55,195,2025-10-29 04:48:55.197672,2025-10-29,4,48,2,Wednesday,False,심야,False,HIGH,3,57.14,6.33,56.66,5.89,0.693,False
1718,가산디지털단지역,1,51.11,148,2025-10-29 05:06:55.197672,2025-10-29,5,6,2,Wednesday,False,심야,False,HIGH,3,58.01,4.61,62.55,-11.44,0.229,False
3782,가산디지털단지역,1,19.63,58,2025-10-29 11:57:55.197672,2025-10-29,11,57,2,Wednesday,False,평시,False,LOW,1,50.36,17.79,51.11,-31.48,-1.046,False
6950,가산디지털단지역,1,15.47,41,2025-10-29 13:32:55.197672,2025-10-29,13,32,2,Wednesday,False,점심,False,LOW,1,41.08,21.91,19.63,-4.16,-1.215,False
9325,가산디지털단지역,1,10.0,30,2025-10-29 14:23:55.197672,2025-10-29,14,23,2,Wednesday,False,평시,False,LOW,1,31.75,23.5,15.47,-5.47,-1.436,False
867,가산디지털단지역,1,5.43,13,2025-10-29 14:47:55.197672,2025-10-29,14,47,2,Wednesday,False,평시,False,LOW,1,20.33,18.03,10.0,-4.57,-1.622,False
8692,가산디지털단지역,1,6.68,22,2025-10-29 15:00:55.197672,2025-10-29,15,0,2,Wednesday,False,평시,False,LOW,1,11.44,6.0,5.43,1.25,-1.571,False
7501,가산디지털단지역,1,11.24,33,2025-10-29 16:20:55.197672,2025-10-29,16,20,2,Wednesday,False,평시,False,LOW,1,9.76,3.97,6.68,4.56,-1.386,False
1709,가산디지털단지역,1,39.45,126,2025-10-29 19:50:55.197672,2025-10-29,19,50,2,Wednesday,False,퇴근,True,MEDIUM,2,14.56,14.11,11.24,28.21,-0.243,False
2658,가산디지털단지역,1,65.6,221,2025-10-29 20:52:55.197672,2025-10-29,20,52,2,Wednesday,False,퇴근,True,HIGH,3,25.68,26.28,39.45,26.15,0.816,False
3152,가산디지털단지역,1,82.21,230,2025-10-29 21:02:55.197672,2025-10-29,21,2,2,Wednesday,False,평시,False,VERY_HIGH,4,41.04,33.05,65.6,16.61,1.489,False
842,가산디지털단지역,1,38.3,128,2025-10-29 23:49:55.197672,2025-10-29,23,49,2,Wednesday,False,평시,False,MEDIUM,2,47.36,27.37,82.21,-43.91,-0.29,False
1142,가산디지털단지역,1,53.69,148,2025-10-30 06:08:55.197672,2025-10-30,6,8,3,Thursday,False,평시,False,HIGH,3,55.85,18.52,38.3,15.39,0.334,False
368,가산디지털단지역,1,89.67,252,2025-10-30 07:09:55.197672,2025-10-30,7,9,3,Thursday,False,출근,True,VERY_HIGH,4,65.89,20.87,53.69,35.98,1.791,False
8257,가산디지털단지역,1,43.6,122,2025-10-30 10:26:55.197672,2025-10-30,10,26,3,Thursday,False,평시,False,MEDIUM,2,61.49,23.14,89.67,-46.07,-0.075,False
8310,가산디지털단지역,1,7.3,19,2025-10-30 12:05:55.197672,2025-10-30,12,5,3,Thursday,False,점심,False,LOW,1,46.51,29.7,43.6,-36.3,-1.546,False
5524,가산디지털단지역,1,17.46,58,2025-10-30 12:34:55.197672,2025-10-30,12,34,3,Thursday,False,점심,False,LOW,1,42.34,32.47,7.3,10.16,-1.134,False
4552,가산디지털단지역,1,9.72,31,2025-10-30 13:35:55.197672,2025-10-30,13,35,3,Thursday,False,점심,False,LOW,1,33.55,34.52,17.46,-7.74,-1.448,False
2631,가산디지털단지역,1,18.1,60,2025-10-30 15:59:55.197672,2025-10-30,15,59,3,Thursday,False,평시,False,LOW,1,19.24,14.41,9.72,8.38,-1.108,False
4594,가산디지털단지역,1,40.69,138,2025-10-30 18:29:55.197672,2025-10-30,18,29,3,Thursday,False,퇴근,True,MEDIUM,2,18.65,13.19,18.1,22.59,-0.193,False
8453,가산디지털단지역,1,47.01,130,2025-10-30 19:28:55.197672,2025-10-30,19,28,3,Thursday,False,퇴근,True,MEDIUM,2,26.6,16.25,40.69,6.32,0.063,False
8365,가산디지털단지역,1,52.15,179,2025-10-30 19:57:55.197672,2025-10-30,19,57,3,Thursday,False,퇴근,True,HIGH,3,33.53,18.61,47.01,5.14,0.271,False
6627,가산디지털단지역,1,60.26,208,2025-10-30 20:12:55.197672,2025-10-30,20,12,3,Thursday,False,퇴근,True,HIGH,3,43.64,15.98,52.15,8.11,0.6,False
1999,가산디지털단지역,1,74.64,224,2025-10-30 20:23:55.197672,2025-10-30,20,23,3,Thursday,False,퇴근,True,VERY_HIGH,4,54.95,13.14,60.26,14.38,1.183,False
9319,가산디지털단지역,1,80.02,233,2025-10-30 22:41:55.197672,2025-10-30,22,41,3,Thursday,False,평시,False,VERY_HIGH,4,62.82,14.19,74.64,5.38,1.4,False
2703,가산디지털단지역,1,62.87,216,2025-10-30 22:58:55.197672,2025-10-30,22,58,3,Thursday,False,평시,False,HIGH,3,65.99,11.24,80.02,-17.15,0.706,False
7672,가산디지털단지역,1,41.6,140,2025-10-31 00:27:55.197672,2025-10-31,0,27,4,Friday,False,심야,False,MEDIUM,2,63.88,14.89,62.87,-21.27,-0.156,False
3784,가산디지털단지역,1,38.26,97,2025-10-31 00:42:55.197672,2025-10-31,0,42,4,Friday,False,심야,False,MEDIUM,2,59.48,18.93,41.6,-3.34,-0.291,False
409,가산디지털단지역,1,42.65,137,2025-10-31 02:19:55.197672,2025-10-31,2,19,4,Friday,False,심야,False,MEDIUM,2,53.08,17.9,38.26,4.39,-0.114,False
7165,가산디지털단지역,1,49.19,169,2025-10-31 03:41:55.197672,2025-10-31,3,41,4,Friday,False,심야,False,MEDIUM,2,46.91,9.76,42.65,6.54,0.151,False
365,가산디지털단지역,1,52.61,177,2025-10-31 04:21:55.197672,2025-10-31,4,21,4,Friday,False,심야,False,HIGH,3,44.86,5.87,49.19,3.42,0.29,False
9955,가산디지털단지역,1,49.37,152,2025-10-31 05:06:55.197672,2025-10-31,5,6,4,Friday,False,심야,False,MEDIUM,2,46.42,5.82,52.61,-3.24,0.159,False
8357,가산디지털단지역,1,40.83,127,2025-10-31 05:56:55.197672,2025-10-31,5,56,4,Friday,False,심야,False,MEDIUM,2,46.93,4.97,49.37,-8.54,-0.187,False
4882,가산디지털단지역,1,72.43,209,2025-10-31 08:50:55.197672,2025-10-31,8,50,4,Friday,False,출근,True,VERY_HIGH,4,52.89,11.76,40.83,31.6,1.093,False
8978,가산디지털단지역,1,34.03,88,2025-10-31 10:41:55.197672,2025-10-31,10,41,4,Friday,False,평시,False,MEDIUM,2,49.85,14.57,72.43,-38.4,-0.463,False
4157,가산디지털단지역,1,50.92,145,2025-10-31 10:49:55.197672,2025-10-31,10,49,4,Friday,False,평시,False,HIGH,3,49.52,14.51,34.03,16.89,0.221,False
9192,가산디지털단지역,1,19.04,59,2025-10-31 14:10:55.197672,2025-10-31,14,10,4,Friday,False,평시,False,LOW,1,43.45,19.92,50.92,-31.88,-1.07,False
2622,가산디지털단지역,1,16.15,43,2025-10-31 14:39:55.197672,2025-10-31,14,39,4,Friday,False,평시,False,LOW,1,38.51,23.47,19.04,-2.89,-1.187,False
9582,가산디지털단지역,1,10.56,26,2025-10-31 15:15:55.197672,2025-10-31,15,15,4,Friday,False,평시,False,LOW,1,26.14,16.35,16.15,-5.59,-1.414,False
5763,가산디지털단지역,1,10.36,31,2025-10-31 15:53:55.197672,2025-10-31,15,53,4,Friday,False,평시,False,LOW,1,21.41,16.91,10.56,-0.2,-1.422,False
7882,가산디지털단지역,1,6.85,23,2025-10-31 16:29:55.197672,2025-10-31,16,29,4,Friday,False,평시,False,LOW,1,12.59,4.91,10.36,-3.51,-1.564,False
4482,가산디지털단지역,1,43.92,112,2025-10-31 18:27:55.197672,2025-10-31,18,27,4,Friday,False,퇴근,True,MEDIUM,2,17.57,15.1,6.85,37.07,-0.062,False
572,가산디지털단지역,1,47.67,159,2025-10-31 19:39:55.197672,2025-10-31,19,39,4,Friday,False,퇴근,True,MEDIUM,2,23.87,20.11,43.92,3.75,0.09,False
6894,가산디지털단지역,1,63.51,178,2025-10-31 20:24:55.197672,2025-10-31,20,24,4,Friday,False,퇴근,True,HIGH,3,34.46,24.75,47.67,15.84,0.732,False
2848,가산디지털단지역,1,61.82,180,2025-10-31 21:40:55.197672,2025-10-31,21,40,4,Friday,False,평시,False,HIGH,3,44.75,22.85,63.51,-1.69,0.663,False
2921,가산디지털단지역,1,63.43,162,2025-10-31 22:37:55.197672,2025-10-31,22,37,4,Friday,False,평시,False,HIGH,3,56.07,9.5,61.82,1.61,0.728,False
6497,가산디지털단지역,1,63.87,206,2025-10-31 22:44:55.197672,2025-10-31,22,44,4,Friday,False,평시,False,HIGH,3,60.06,6.97,63.43,0.44,0.746,False
1628,가산디지털단지역,1,47.27,137,2025-11-01 00:09:55.197672,2025-11-01,0,9,5,Saturday,True,심야,False,MEDIUM,2,59.98,7.15,63.87,-16.6,0.074,False
752,가산디지털단지역,1,49.06,147,2025-11-01 00:48:55.197672,2025-11-01,0,48,5,Saturday,True,심야,False,MEDIUM,2,57.09,8.21,47.27,1.79,0.146,False
5785,가산디지털단지역,1,37.74,126,2025-11-01 05:25:55.197672,2025-11-01,5,25,5,Saturday,True,심야,False,MEDIUM,2,52.27,11.24,49.06,-11.32,-0.312,False
4156,가산디지털단지역,1,30.13,94,2025-11-01 06:40:55.197672,2025-11-01,6,40,5,Saturday,True,평시,False,MEDIUM,2,45.61,12.74,37.74,-7.61,-0.621,False
4459,가산디지털단지역,1,12.83,43,2025-11-01 11:17:55.197672,2025-11-01,11,17,5,Saturday,True,평시,False,LOW,1,35.41,14.75,30.13,-17.3,-1.322,False
9423,가산디지털단지역,1,7.54,20,2025-11-01 13:17:55.197672,2025-11-01,13,17,5,Saturday,True,점심,False,LOW,1,27.46,17.25,12.83,-5.29,-1.536,False
5735,가산디지털단지역,1,11.41,31,2025-11-01 13:26:55.197672,2025-11-01,13,26,5,Saturday,True,점심,False,LOW,1,19.93,13.21,7.54,3.87,-1.379,False
5526,가산디지털단지역,1,14.99,45,2025-11-01 13:49:55.197672,2025-11-01,13,49,5,Saturday,True,점심,False,LOW,1,15.38,8.68,11.41,3.58,-1.234,False
1828,가산디지털단지역,1,10.94,36,2025-11-01 15:00:55.197672,2025-11-01,15,0,5,Saturday,True,평시,False,LOW,1,11.54,2.74,14.99,-4.05,-1.398,False
4792,가산디지털단지역,1,5.33,18,2025-11-01 16:39:55.197672,2025-11-01,16,39,5,Saturday,True,평시,False,LOW,1,10.04,3.73,10.94,-5.61,-1.626,False
5768,가산디지털단지역,1,49.11,138,2025-11-01 18:00:55.197672,2025-11-01,18,0,5,Saturday,True,퇴근,True,MEDIUM,2,18.36,17.54,5.33,43.78,0.148,False
363,가산디지털단지역,1,34.04,104,2025-11-01 18:20:55.197672,2025-11-01,18,20,5,Saturday,True,퇴근,True,MEDIUM,2,22.88,18.2,49.11,-15.07,-0.462,False
5180,가산디지털단지역,1,54.55,188,2025-11-01 19:54:55.197672,2025-11-01,19,54,5,Saturday,True,퇴근,True,HIGH,3,30.79,22.1,34.04,20.51,0.369,False
4130,가산디지털단지역,1,36.69,98,2025-11-01 19:58:55.197672,2025-11-01,19,58,5,Saturday,True,퇴근,True,MEDIUM,2,35.94,19.11,54.55,-17.86,-0.355,False
9020,가산디지털단지역,1,76.31,248,2025-11-01 21:31:55.197672,2025-11-01,21,31,5,Saturday,True,평시,False,VERY_HIGH,4,50.14,16.92,36.69,39.62,1.25,False
9102,가산디지털단지역,1,61.24,164,2025-11-01 22:03:55.197672,2025-11-01,22,3,5,Saturday,True,평시,False,HIGH,3,52.57,17.59,76.31,-15.07,0.64,False
1910,가산디지털단지역,1,69.47,189,2025-11-01 22:08:55.197672,2025-11-01,22,8,5,Saturday,True,평시,False,HIGH,3,59.65,15.25,61.24,8.23,0.973,False
2172,가산디지털단지역,1,77.39,213,2025-11-01 23:01:55.197672,2025-11-01,23,1,5,Saturday,True,평시,False,VERY_HIGH,4,64.22,16.69,69.47,7.92,1.294,False
2482,가산디지털단지역,1,41.01,126,2025-11-01 23:12:55.197672,2025-11-01,23,12,5,Saturday,True,평시,False,MEDIUM,2,65.08,14.93,77.39,-36.38,-0.18,False
3416,가산디지털단지역,1,43.19,111,2025-11-02 02:57:55.197672,2025-11-02,2,57,6,Sunday,True,심야,False,MEDIUM,2,58.46,16.01,41.01,2.18,-0.092,False
1784,가산디지털단지역,1,47.51,119,2025-11-02 03:20:55.197672,2025-11-02,3,20,6,Sunday,True,심야,False,MEDIUM,2,55.71,16.58,43.19,4.32,0.083,False
47,가산디지털단지역,1,55.97,176,2025-11-02 03:28:55.197672,2025-11-02,3,28,6,Sunday,True,심야,False,HIGH,3,53.01,14.78,47.51,8.46,0.426,False
4337,가산디지털단지역,1,56.55,179,2025-11-02 03:37:55.197672,2025-11-02,3,37,6,Sunday,True,심야,False,HIGH,3,48.85,7.16,55.97,0.58,0.45,False
7509,가산디지털단지역,1,78.18,254,2025-11-02 07:12:55.197672,2025-11-02,7,12,6,Sunday,True,출근,True,VERY_HIGH,4,56.28,13.49,56.55,21.63,1.326,False
5023,가산디지털단지역,1,89.57,247,2025-11-02 07:48:55.197672,2025-11-02,7,48,6,Sunday,True,출근,True,VERY_HIGH,4,65.56,17.57,78.18,11.39,1.787,False
8069,가산디지털단지역,1,77.45,215,2025-11-02 09:07:55.197672,2025-11-02,9,7,6,Sunday,True,출근,True,VERY_HIGH,4,71.54,14.76,89.57,-12.12,1.296,False
3634,가산디지털단지역,1,43.82,136,2025-11-02 10:27:55.197672,2025-11-02,10,27,6,Sunday,True,평시,False,MEDIUM,2,69.11,18.49,77.45,-33.63,-0.066,False
6873,가산디지털단지역,1,14.22,42,2025-11-02 11:19:55.197672,2025-11-02,11,19,6,Sunday,True,평시,False,LOW,1,60.65,31.08,43.82,-29.6,-1.265,False
